esquema,f1_mean,recall_mean,precision_mean,average_precision_mean,mcc_mean
TomekLinks,0.9,0.9114,0.8889,0.9617,0.8453
sin_balanceo,0.8996,0.9071,0.8923,0.9617,0.8451
ENN,0.8987,0.936,0.8642,0.9604,0.8424
SMOTEENN,0.8972,0.9275,0.8688,0.9612,0.8402
SMOTETomek,0.8945,0.9392,0.8539,0.9612,0.8359
SMOTE,0.8938,0.9397,0.8522,0.9612,0.8348
balanced,0.8937,0.9419,0.8502,0.9613,0.8347
RandomUnder,0.8934,0.9417,0.8497,0.9612,0.8341
RandomOver,0.8934,0.9415,0.85,0.9612,0.8341
peso_2:1,0.8922,0.9443,0.8455,0.9613,0.8323
peso_3:1,0.8882,0.9593,0.827,0.9609,0.8268
ADASYN,0.884,0.9635,0.8166,0.9601,0.8206
BorderlineSMOTE,0.8826,0.9642,0.8138,0.9594,0.8185
NearMiss-1,0.8821,0.9308,0.8382,0.9228,0.8162
