variable,n_menos_uno,pct
qty_and_params,81225,91.627
qty_space_params,81225,91.627
qty_dot_params,81225,91.627
qty_hyphen_params,81225,91.627
qty_underline_params,81225,91.627
qty_slash_params,81225,91.627
qty_questionmark_params,81225,91.627
qty_equal_params,81225,91.627
qty_at_params,81225,91.627
qty_exclamation_params,81225,91.627
qty_tilde_params,81225,91.627
qty_comma_params,81225,91.627
qty_plus_params,81225,91.627
qty_asterisk_params,81225,91.627
qty_hashtag_params,81225,91.627
qty_dollar_params,81225,91.627
qty_percent_params,81225,91.627
params_length,81225,91.627
tld_present_params,81225,91.627
qty_params,81225,91.627
qty_hyphen_directory,47509,53.593
qty_asterisk_file,47509,53.593
qty_hashtag_file,47509,53.593
qty_dot_directory,47509,53.593
qty_percent_file,47509,53.593
file_length,47509,53.593
qty_comma_file,47509,53.593
qty_plus_file,47509,53.593
qty_dollar_file,47509,53.593
qty_tilde_file,47509,53.593
qty_hashtag_directory,47509,53.593
qty_underline_directory,47509,53.593
qty_slash_directory,47509,53.593
qty_questionmark_directory,47509,53.593
qty_equal_directory,47509,53.593
qty_at_directory,47509,53.593
qty_and_directory,47509,53.593
qty_exclamation_directory,47509,53.593
qty_space_directory,47509,53.593
qty_space_file,47509,53.593
qty_comma_directory,47509,53.593
qty_plus_directory,47509,53.593
qty_asterisk_directory,47509,53.593
qty_tilde_directory,47509,53.593
qty_dollar_directory,47509,53.593
qty_questionmark_file,47509,53.593
qty_percent_directory,47509,53.593
qty_and_file,47509,53.593
qty_at_file,47509,53.593
qty_equal_file,47509,53.593
qty_exclamation_file,47509,53.593
qty_slash_file,47509,53.593
qty_underline_file,47509,53.593
qty_hyphen_file,47509,53.593
qty_dot_file,47509,53.593
directory_length,47509,53.593
time_domain_expiration,26210,29.567
time_domain_activation,24354,27.473
domain_spf,14677,16.557
qty_redirects,6949,7.839
asn_ip,6473,7.302
time_response,5860,6.61
ttl_hostname,4454,5.024
qty_ip_resolved,4453,5.023
url_google_index,90,0.102
domain_google_index,88,0.099
