variable,corr_con_diana,abs
qty_slash_directory,0.7464535702993934,0.7464535702993934
qty_questionmark_file,0.7456437155342414,0.7456437155342414
qty_hashtag_directory,0.7456437155342414,0.7456437155342414
qty_slash_file,0.7456437155342414,0.7456437155342414
qty_questionmark_directory,0.7456437155342414,0.7456437155342414
qty_hashtag_file,0.7456437155342414,0.7456437155342414
qty_dollar_file,0.7456437155342414,0.7456437155342414
qty_at_file,0.7455089344580432,0.7455089344580432
qty_exclamation_file,0.7450588575228563,0.7450588575228563
qty_and_file,0.7448601242201582,0.7448601242201582
qty_tilde_file,0.7446574190901372,0.7446574190901372
qty_equal_file,0.7436918339922569,0.7436918339922569
qty_space_file,0.7427489884480486,0.7427489884480486
qty_comma_file,0.7423643869557167,0.7423643869557167
qty_comma_directory,0.7422513925364642,0.7422513925364642
qty_exclamation_directory,0.7421869704208143,0.7421869704208143
qty_space_directory,0.7400259219969715,0.7400259219969715
qty_tilde_directory,0.7395714582350564,0.7395714582350564
qty_equal_directory,0.7379216049860252,0.7379216049860252
qty_plus_file,0.7351400934142334,0.7351400934142334
qty_dollar_directory,0.7349230858511286,0.7349230858511286
qty_dot_file,0.7330075752798203,0.7330075752798203
qty_plus_directory,0.7328424388061047,0.7328424388061047
qty_and_directory,0.7022645241556504,0.7022645241556504
qty_slash_url,0.699060649970363,0.699060649970363
qty_dot_directory,0.6902714681679145,0.6902714681679145
qty_asterisk_file,0.6847978635166567,0.6847978635166567
qty_at_directory,0.6822721955808408,0.6822721955808408
qty_asterisk_directory,0.651520286966567,0.651520286966567
qty_underline_file,0.6365852683328692,0.6365852683328692
qty_underline_directory,0.6231055911097035,0.6231055911097035
directory_length,0.5256943896507841,0.5256943896507841
qty_hyphen_file,0.49350856001345444,0.49350856001345444
length_url,0.4497714301386202,0.4497714301386202
qty_hyphen_directory,0.4493084431319834,0.4493084431319834
time_domain_activation,-0.4418749676338191,0.4418749676338191
qty_hashtag_params,0.3564183563053672,0.3564183563053672
qty_tilde_params,0.3563276631110495,0.3563276631110495
qty_space_params,0.35597852969417004,0.35597852969417004
qty_asterisk_params,0.35596065414156397,0.35596065414156397
qty_dollar_params,0.354275432596737,0.354275432596737
qty_exclamation_params,0.35180030899887166,0.35180030899887166
qty_comma_params,0.3487533449116703,0.3487533449116703
tld_present_params,0.3459772389965733,0.3459772389965733
qty_at_params,0.34350140716381844,0.34350140716381844
qty_plus_params,0.34349225514371595,0.34349225514371595
qty_questionmark_params,0.34315531095052676,0.34315531095052676
qty_params,0.3033600766695542,0.3033600766695542
qty_equal_params,0.2944909978166586,0.2944909978166586
qty_equal_url,0.26259720532398206,0.26259720532398206
qty_dot_domain,-0.2604798491250362,0.2604798491250362
qty_underline_params,0.2594129768719227,0.2594129768719227
file_length,0.25505725185566813,0.25505725185566813
qty_and_params,0.2546073321459538,0.2546073321459538
qty_percent_file,0.2540904943983312,0.2540904943983312
qty_percent_directory,0.2515842113049401,0.2515842113049401
qty_slash_params,0.24994851113013206,0.24994851113013206
qty_dot_params,0.2458911951111967,0.2458911951111967
qty_hyphen_params,0.23498976414293812,0.23498976414293812
params_length,0.2329924016164936,0.2329924016164936
qty_tld_url,0.21440739805631448,0.21440739805631448
qty_hyphen_url,0.2003822536725787,0.2003822536725787
qty_and_url,0.19196680493196921,0.19196680493196921
qty_underline_url,0.19115108294466707,0.19115108294466707
email_in_url,0.18781206874846046,0.18781206874846046
qty_dot_url,0.17112779873064196,0.17112779873064196
time_domain_expiration,-0.1659146758845729,0.1659146758845729
qty_percent_params,0.12271020998458249,0.12271020998458249
qty_hyphen_domain,0.11745567342694364,0.11745567342694364
qty_questionmark_url,0.11169369588158581,0.11169369588158581
qty_vowels_domain,0.11133306852020204,0.11133306852020204
qty_at_url,0.10870825633241596,0.10870825633241596
url_shortened,0.09924998946141705,0.09924998946141705
asn_ip,0.09165396043861325,0.09165396043861325
qty_mx_servers,-0.07957953266742086,0.07957953266742086
qty_nameservers,-0.06633602055669685,0.06633602055669685
qty_redirects,-0.061774641417530696,0.061774641417530696
domain_in_ip,0.05810098911891444,0.05810098911891444
qty_tilde_url,0.05104164362160196,0.05104164362160196
tls_ssl_certificate,-0.03624901595135192,0.03624901595135192
time_response,0.03327423681527173,0.03327423681527173
qty_exclamation_url,0.03279633581916668,0.03279633581916668
qty_ip_resolved,-0.029339896185814535,0.029339896185814535
qty_comma_url,0.028606488469523697,0.028606488469523697
qty_dollar_url,0.026142154732144884,0.026142154732144884
qty_percent_url,0.025765905675684087,0.025765905675684087
qty_asterisk_url,0.02068141124874082,0.02068141124874082
qty_space_url,0.019224275193519567,0.019224275193519567
qty_hashtag_url,0.011326618535008524,0.011326618535008524
ttl_hostname,-0.010739779163395248,0.010739779163395248
domain_length,0.009735848957392358,0.009735848957392358
url_google_index,-0.008985553600229814,0.008985553600229814
qty_plus_url,0.00804304578612832,0.00804304578612832
domain_spf,-0.005582444201005894,0.005582444201005894
qty_at_domain,0.004620515599500373,0.004620515599500373
qty_underline_domain,-0.004514480079142602,0.004514480079142602
server_client_domain,0.002855217899077827,0.002855217899077827
domain_google_index,0.0007935755560402443,0.0007935755560402443
qty_slash_domain,,
qty_questionmark_domain,,
qty_equal_domain,,
qty_and_domain,,
qty_exclamation_domain,,
qty_space_domain,,
qty_tilde_domain,,
qty_comma_domain,,
qty_plus_domain,,
qty_asterisk_domain,,
qty_hashtag_domain,,
qty_dollar_domain,,
qty_percent_domain,,
