variable,informacion_mutua
qty_slash_url,0.3768994901623768
directory_length,0.3613209380617035
file_length,0.34082869677833894
length_url,0.2807407368002406
qty_slash_directory,0.2441925983632378
time_domain_activation,0.19120532356476416
asn_ip,0.13978902058296483
qty_dot_directory,0.13779359035865224
qty_dot_file,0.12526994720058404
ttl_hostname,0.09444670304556024
params_length,0.07527947612923258
qty_dot_domain,0.06268637246112196
qty_equal_url,0.061394943103336486
qty_hyphen_directory,0.0591319242645989
qty_dot_url,0.05909433123329455
qty_hyphen_url,0.05143965816412899
qty_equal_params,0.050410973526924696
qty_params,0.043959580997152914
time_domain_expiration,0.04229174296223803
qty_dot_params,0.03634195104449822
qty_and_url,0.0340361509788325
qty_underline_url,0.033690346624780876
qty_and_params,0.03088179191247664
qty_tld_url,0.03029142440630772
qty_underline_directory,0.024355258022732196
qty_underline_params,0.023013335785234235
qty_at_params,0.019319983508301997
tld_present_params,0.01850821633262112
qty_questionmark_url,0.01830014038308092
qty_hyphen_domain,0.017861096353450012
qty_at_url,0.01641447131245921
qty_nameservers,0.016181066869243255
qty_mx_servers,0.015722392253534556
domain_length,0.014778174206311778
qty_vowels_domain,0.012626501136205892
time_response,0.012571509345057574
qty_redirects,0.011957833526456074
email_in_url,0.011389903838266546
url_shortened,0.01103932967078003
qty_slash_file,0.007679487984252109
qty_comma_file,0.007389343126137593
domain_google_index,0.007369134389628718
qty_percent_file,0.007090990679958997
qty_hyphen_params,0.007068008704766315
qty_questionmark_file,0.0065594498386682965
qty_questionmark_params,0.006194567376689886
url_google_index,0.005934045408229283
qty_equal_domain,0.005420752063179046
qty_percent_directory,0.0054146266891959005
qty_exclamation_domain,0.0045242276734513975
qty_slash_params,0.004307427870195113
qty_tilde_url,0.0040597800559187824
qty_comma_directory,0.0040536596880096365
qty_tilde_domain,0.003644855304096861
qty_hashtag_params,0.0035922628344773333
qty_hashtag_url,0.003557055627848582
qty_equal_directory,0.003518936068415579
qty_dollar_directory,0.0034426384035266544
qty_underline_domain,0.003128577570501667
qty_tilde_params,0.0029567959542387
domain_spf,0.0028644242070745563
qty_and_directory,0.0026715490624260596
qty_asterisk_params,0.002508038903839882
qty_plus_file,0.0023690378366678644
qty_asterisk_directory,0.002350267557054808
qty_space_domain,0.0023221969159124
qty_questionmark_domain,0.002137170609811667
qty_percent_url,0.002127455021951441
qty_exclamation_file,0.0019691507358594595
qty_dollar_params,0.001964699402067227
qty_percent_params,0.0019249587046576977
qty_and_file,0.001900896176823208
qty_percent_domain,0.0017840715951356056
qty_exclamation_url,0.0017009219669397169
qty_at_file,0.0015476823101490123
qty_questionmark_directory,0.0014583754693304751
qty_at_directory,0.0006992185424146147
qty_space_file,0.0006258203295967935
qty_space_directory,0.0002787574027516282
tls_ssl_certificate,0.00023270800946906256
qty_comma_params,0.00015522339757589876
qty_asterisk_url,0.0
qty_plus_url,0.0
qty_dollar_url,0.0
qty_ip_resolved,0.0
qty_comma_url,0.0
qty_hashtag_domain,0.0
qty_slash_domain,0.0
qty_space_url,0.0
qty_dollar_domain,0.0
qty_comma_domain,0.0
qty_exclamation_params,0.0
qty_plus_params,0.0
qty_hashtag_file,0.0
qty_underline_file,0.0
qty_plus_domain,0.0
qty_asterisk_domain,0.0
qty_equal_file,0.0
qty_tilde_file,0.0
qty_hashtag_directory,0.0
qty_asterisk_file,0.0
qty_dollar_file,0.0
qty_space_params,0.0
domain_in_ip,0.0
qty_plus_directory,0.0
qty_tilde_directory,0.0
qty_exclamation_directory,0.0
qty_and_domain,0.0
qty_at_domain,0.0
qty_hyphen_file,0.0
server_client_domain,0.0
