variable_a,variable_b,pearson
qty_hashtag_directory,qty_hashtag_file,1.0
qty_hashtag_directory,qty_slash_file,1.0
qty_questionmark_directory,qty_slash_file,1.0
qty_slash_file,qty_questionmark_file,1.0
qty_questionmark_directory,qty_hashtag_directory,1.0
qty_slash_file,qty_hashtag_file,1.0
qty_slash_file,qty_dollar_file,1.0
qty_hashtag_directory,qty_questionmark_file,1.0
qty_questionmark_directory,qty_questionmark_file,1.0
qty_hashtag_directory,qty_dollar_file,1.0
qty_questionmark_directory,qty_hashtag_file,1.0
qty_questionmark_file,qty_hashtag_file,1.0
qty_questionmark_directory,qty_dollar_file,1.0
qty_questionmark_file,qty_dollar_file,1.0
qty_hashtag_file,qty_dollar_file,1.0
qty_comma_directory,qty_comma_file,0.9997082057003067
qty_tilde_params,qty_hashtag_params,0.9996333287606091
qty_at_file,qty_hashtag_file,0.999366777099936
qty_at_file,qty_dollar_file,0.999366777099936
qty_questionmark_directory,qty_at_file,0.9993667770999359
qty_questionmark_file,qty_at_file,0.9993667770999359
qty_hashtag_directory,qty_at_file,0.9993667770999359
qty_slash_file,qty_at_file,0.9993667770999359
qty_slash_file,qty_tilde_file,0.9987343848090685
qty_questionmark_directory,qty_tilde_file,0.9987343848090685
qty_hashtag_directory,qty_tilde_file,0.9987343848090685
qty_questionmark_file,qty_tilde_file,0.9987343848090685
qty_tilde_file,qty_hashtag_file,0.9987343848090685
qty_tilde_file,qty_dollar_file,0.9987343848090685
qty_space_params,qty_hashtag_params,0.99860908563067
qty_plus_directory,qty_plus_file,0.9985789910556628
qty_asterisk_params,qty_hashtag_params,0.9985365557077975
qty_space_params,qty_tilde_params,0.9982422333091984
qty_tilde_params,qty_asterisk_params,0.9981696314174502
qty_at_file,qty_tilde_file,0.9981012203498021
qty_questionmark_file,qty_exclamation_file,0.9976199607051613
qty_slash_file,qty_exclamation_file,0.9976199607051613
qty_hashtag_directory,qty_exclamation_file,0.9976199607051613
qty_exclamation_file,qty_hashtag_file,0.9976199607051613
qty_questionmark_directory,qty_exclamation_file,0.9976199607051613
qty_exclamation_file,qty_dollar_file,0.9976199607051613
qty_space_params,qty_asterisk_params,0.9971465727787685
qty_at_file,qty_exclamation_file,0.9970307141084129
qty_and_file,qty_dollar_file,0.99695716985708
qty_questionmark_directory,qty_and_file,0.99695716985708
qty_hashtag_directory,qty_and_file,0.99695716985708
qty_slash_file,qty_and_file,0.99695716985708
qty_questionmark_file,qty_and_file,0.99695716985708
qty_and_file,qty_hashtag_file,0.99695716985708
qty_slash_file,qty_comma_file,0.9968938632210764
qty_questionmark_file,qty_comma_file,0.9968938632210764
qty_questionmark_directory,qty_comma_file,0.9968938632210764
qty_hashtag_directory,qty_comma_file,0.9968938632210764
qty_comma_file,qty_dollar_file,0.9968938632210764
qty_comma_file,qty_hashtag_file,0.9968938632210764
qty_tilde_file,qty_comma_file,0.9965773433780113
qty_exclamation_file,qty_tilde_file,0.9965349876468786
qty_comma_directory,qty_slash_file,0.9965160422114762
qty_comma_directory,qty_hashtag_directory,0.9965160422114762
qty_comma_directory,qty_questionmark_file,0.9965160422114762
qty_questionmark_directory,qty_comma_directory,0.9965160422114762
qty_comma_directory,qty_hashtag_file,0.9965160422114762
qty_comma_directory,qty_dollar_file,0.9965160422114762
qty_at_file,qty_and_file,0.9965023841923704
qty_at_file,qty_comma_file,0.9962611818625922
qty_comma_directory,qty_tilde_file,0.996198974122216
qty_comma_directory,qty_at_file,0.9958832307578246
qty_space_directory,qty_space_file,0.9957720626092312
qty_and_file,qty_tilde_file,0.9956918225296889
qty_slash_file,qty_space_file,0.9954592974471708
qty_hashtag_directory,qty_space_file,0.9954592974471708
qty_questionmark_directory,qty_space_file,0.9954592974471708
qty_questionmark_file,qty_space_file,0.9954592974471708
qty_space_file,qty_dollar_file,0.9954592974471708
qty_space_file,qty_hashtag_file,0.9954592974471708
qty_exclamation_directory,qty_exclamation_file,0.9953284189355343
qty_hashtag_directory,qty_equal_file,0.9950495843396627
qty_questionmark_file,qty_equal_file,0.9950495843396627
qty_equal_file,qty_dollar_file,0.9950495843396627
qty_questionmark_directory,qty_equal_file,0.9950495843396627
qty_equal_file,qty_hashtag_file,0.9950495843396627
qty_slash_file,qty_equal_file,0.9950495843396627
qty_at_file,qty_space_file,0.9948278678126707
qty_and_file,qty_exclamation_file,0.9945717280640791
qty_exclamation_file,qty_comma_file,0.9945161900344827
qty_equal_file,qty_at_file,0.9944153515368501
qty_comma_directory,qty_exclamation_file,0.9942278098500205
qty_space_file,qty_tilde_file,0.9941983477117757
qty_equal_file,qty_tilde_file,0.993920755374961
qty_and_file,qty_comma_file,0.9938536104840889
qty_equal_file,qty_and_file,0.9938344949558595
qty_asterisk_params,qty_dollar_params,0.9935137310684421
qty_comma_directory,qty_and_file,0.993475157883514
qty_hashtag_params,qty_dollar_params,0.9932323959324196
qty_exclamation_file,qty_space_file,0.9930862493578579
qty_exclamation_directory,qty_hashtag_file,0.9928814986179689
qty_exclamation_directory,qty_dollar_file,0.9928814986179689
qty_exclamation_directory,qty_questionmark_file,0.9928814986179689
qty_exclamation_directory,qty_slash_file,0.9928814986179689
qty_exclamation_directory,qty_hashtag_directory,0.9928814986179689
qty_questionmark_directory,qty_exclamation_directory,0.9928814986179689
qty_tilde_params,qty_dollar_params,0.9928648796175413
qty_space_file,qty_comma_file,0.992769422946127
qty_equal_file,qty_exclamation_file,0.9927114764938374
qty_and_file,qty_space_file,0.9924250656174844
qty_comma_directory,qty_space_file,0.9923924992707484
qty_exclamation_directory,qty_at_file,0.992293524542951
qty_equal_file,qty_comma_file,0.992085214577467
qty_space_params,qty_dollar_params,0.991846243559425
qty_exclamation_directory,qty_tilde_file,0.9917999841548962
qty_comma_directory,qty_equal_file,0.9917071116302073
qty_space_directory,qty_dollar_file,0.9912588459970124
qty_space_directory,qty_hashtag_directory,0.9912588459970124
qty_space_directory,qty_questionmark_file,0.9912588459970124
qty_space_directory,qty_slash_file,0.9912588459970124
qty_space_directory,qty_hashtag_file,0.9912588459970124
qty_questionmark_directory,qty_space_directory,0.9912588459970124
qty_tilde_directory,qty_tilde_file,0.9909361038276635
qty_space_directory,qty_at_file,0.9906291749688838
qty_equal_file,qty_space_file,0.990525328074389
qty_space_directory,qty_tilde_file,0.9900023117713665
qty_exclamation_directory,qty_and_file,0.989840656206996
qty_exclamation_directory,qty_comma_file,0.9897896523593275
qty_exclamation_directory,qty_comma_directory,0.989501799124781
qty_space_directory,qty_exclamation_file,0.9888926168999626
qty_space_directory,qty_comma_file,0.988578272575139
qty_exclamation_directory,qty_space_file,0.9883671822917216
qty_questionmark_directory,qty_tilde_directory,0.988239999249894
qty_tilde_directory,qty_hashtag_directory,0.988239999249894
qty_tilde_directory,qty_dollar_file,0.988239999249894
qty_tilde_directory,qty_slash_file,0.988239999249894
qty_tilde_directory,qty_questionmark_file,0.988239999249894
qty_tilde_directory,qty_hashtag_file,0.988239999249894
qty_space_directory,qty_and_file,0.988233049086822
qty_space_directory,qty_comma_directory,0.9882024896009115
qty_exclamation_directory,qty_equal_file,0.9879880788585953
qty_tilde_directory,qty_at_file,0.9876063264908878
qty_slash_file,qty_plus_file,0.9874491244064516
qty_plus_file,qty_dollar_file,0.9874491244064516
qty_questionmark_directory,qty_plus_file,0.9874491244064516
qty_questionmark_file,qty_plus_file,0.9874491244064516
qty_hashtag_directory,qty_plus_file,0.9874491244064516
qty_plus_file,qty_hashtag_file,0.9874491244064516
qty_at_file,qty_plus_file,0.9868219297561588
qty_space_directory,qty_equal_file,0.9863406464401971
qty_tilde_file,qty_plus_file,0.9861974757567322
qty_tilde_directory,qty_comma_file,0.9860861269785665
qty_exclamation_params,qty_hashtag_params,0.9860741818940704
qty_tilde_directory,qty_exclamation_file,0.9860373590685864
qty_exclamation_params,qty_tilde_params,0.9857083486403602
qty_tilde_directory,qty_comma_directory,0.9857081797703409
qty_tilde_directory,qty_and_file,0.9851948696285218
qty_exclamation_file,qty_plus_file,0.9850921882117073
qty_and_file,qty_plus_file,0.9849240871920573
qty_exclamation_params,qty_space_params,0.9846966693790862
qty_exclamation_params,qty_asterisk_params,0.9846242983699566
qty_questionmark_directory,qty_plus_directory,0.9845893166127816
