variable,spearman,abs
qty_slash_url,0.7918670268931178,0.7918670268931178
length_url,0.6326440784147649,0.6326440784147649
qty_dot_directory,0.519724997625525,0.519724997625525
qty_dot_file,0.49420893903140367,0.49420893903140367
time_domain_activation,-0.4694934949233687,0.4694934949233687
qty_slash_directory,0.3591390415606715,0.3591390415606715
qty_equal_url,0.35250471373348985,0.35250471373348985
qty_dot_domain,-0.32784680180397235,0.32784680180397235
qty_hyphen_url,0.3223843367296203,0.3223843367296203
qty_hyphen_directory,0.3191139298623218,0.3191139298623218
qty_underline_url,0.277617592777054,0.277617592777054
qty_dot_params,0.2616389760362379,0.2616389760362379
qty_and_url,0.25505611266901057,0.25505611266901057
directory_length,0.25052600602907643,0.25052600602907643
qty_and_params,0.24582516286632541,0.24582516286632541
qty_tld_url,0.22191695292306904,0.22191695292306904
tld_present_params,0.21526545767871047,0.21526545767871047
qty_underline_params,0.20706230594745295,0.20706230594745295
qty_underline_directory,0.19792338175685686,0.19792338175685686
qty_at_url,0.19259137786479022,0.19259137786479022
email_in_url,0.1878120687484607,0.1878120687484607
qty_at_params,0.1849011629935978,0.1849011629935978
qty_equal_params,0.18060361441579392,0.18060361441579392
qty_hyphen_params,0.16434816095433788,0.16434816095433788
file_length,0.14627082694037039,0.14627082694037039
qty_params,0.1393397723911038,0.1393397723911038
qty_percent_url,0.12878163614919427,0.12878163614919427
qty_questionmark_url,0.12414156515390848,0.12414156515390848
qty_redirects,-0.12376444523575902,0.12376444523575902
qty_questionmark_params,0.12246416211009598,0.12246416211009598
qty_slash_params,0.11830886286588707,0.11830886286588707
time_domain_expiration,-0.11331429532521527,0.11331429532521527
domain_spf,0.11307773721576862,0.11307773721576862
qty_hyphen_domain,0.11249868016566761,0.11249868016566761
qty_equal_directory,0.10769354632659299,0.10769354632659299
qty_percent_directory,0.10165746026257248,0.10165746026257248
url_shortened,0.09924998946141697,0.09924998946141697
qty_mx_servers,-0.09853148122671763,0.09853148122671763
qty_hyphen_file,0.09706243011670225,0.09706243011670225
qty_vowels_domain,0.09584141499331605,0.09584141499331605
asn_ip,0.0932459923524619,0.0932459923524619
qty_ip_resolved,-0.09116081999179372,0.09116081999179372
qty_dot_url,0.08811743388492621,0.08811743388492621
qty_percent_params,0.08053128752942824,0.08053128752942824
qty_underline_file,0.07339368557321994,0.07339368557321994
qty_and_directory,0.06718677374651277,0.06718677374651277
qty_nameservers,-0.06397875254682521,0.06397875254682521
qty_tilde_url,0.06142758331567215,0.06142758331567215
qty_tilde_directory,0.060557459424796733,0.060557459424796733
domain_in_ip,0.05810098911891427,0.05810098911891427
qty_at_directory,0.051063722195336364,0.051063722195336364
qty_and_file,0.04978970161582946,0.04978970161582946
qty_exclamation_directory,0.048490193449751015,0.048490193449751015
qty_equal_file,0.048261050826023826,0.048261050826023826
domain_length,-0.044963244853971816,0.044963244853971816
qty_comma_params,0.04361150626849328,0.04361150626849328
qty_exclamation_file,0.04336556329235048,0.04336556329235048
qty_comma_url,0.042596904082999924,0.042596904082999924
qty_percent_file,0.0388469583376347,0.0388469583376347
qty_exclamation_url,0.0388231421193194,0.0388231421193194
tls_ssl_certificate,-0.03624901595135218,0.03624901595135218
qty_asterisk_url,0.03550246754081015,0.03550246754081015
qty_dollar_url,0.03396386950982772,0.03396386950982772
qty_asterisk_directory,0.031684879613664826,0.031684879613664826
time_response,-0.027689684992384344,0.027689684992384344
params_length,0.027495314705706493,0.027495314705706493
qty_space_url,0.02694701987838846,0.02694701987838846
url_google_index,-0.025715872068592754,0.025715872068592754
qty_dollar_directory,0.024886168195380372,0.024886168195380372
qty_at_file,0.0231057059910169,0.0231057059910169
qty_exclamation_params,0.02310570587737179,0.02310570587737179
qty_space_directory,0.022638748007014268,0.022638748007014268
ttl_hostname,0.022393102155514617,0.022393102155514617
qty_dollar_params,0.017896593174928456,0.017896593174928456
qty_space_file,0.01666063357514677,0.01666063357514677
qty_asterisk_file,0.016006928689993274,0.016006928689993274
qty_hashtag_url,0.01532538098318865,0.01532538098318865
qty_plus_directory,0.014250919144136608,0.014250919144136608
qty_tilde_file,0.012425604638400737,0.012425604638400737
domain_google_index,-0.012252340915343647,0.012252340915343647
qty_plus_file,0.011133172222584026,0.011133172222584026
qty_comma_directory,0.010623553566514392,0.010623553566514392
qty_tilde_params,0.010332020081628604,0.010332020081628604
qty_asterisk_params,0.01033202007899887,0.01033202007899887
qty_plus_url,0.009591547372611333,0.009591547372611333
qty_space_params,0.009241187570887415,0.009241187570887415
qty_underline_domain,-0.00477643350887946,0.00477643350887946
qty_at_domain,0.004620515599500381,0.004620515599500381
server_client_domain,0.0028552178990775526,0.0028552178990775526
qty_plus_params,0.0028271242035776325,0.0028271242035776325
qty_comma_file,0.0015432635085104228,0.0015432635085104228
qty_slash_domain,,
qty_questionmark_domain,,
qty_equal_domain,,
qty_and_domain,,
qty_exclamation_domain,,
qty_space_domain,,
qty_tilde_domain,,
qty_comma_domain,,
qty_plus_domain,,
qty_asterisk_domain,,
qty_hashtag_domain,,
qty_dollar_domain,,
qty_percent_domain,,
qty_questionmark_directory,,
qty_hashtag_directory,,
qty_slash_file,,
qty_questionmark_file,,
qty_hashtag_file,,
qty_dollar_file,,
qty_hashtag_params,,
