fecha_utc,bloque,tecnica,modelo,datos,metricas,hiperparametros,semilla,notas
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88453, ""mcc"": 0.82212}","{""imputador"": ""media""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88378, ""mcc"": 0.82079}","{""imputador"": ""mediana""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88183, ""mcc"": 0.81757}","{""imputador"": ""moda""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.90469, ""mcc"": 0.85273}","{""imputador"": ""constante_-1""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.90569, ""mcc"": 0.85446}","{""imputador"": ""mediana+indicador""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.90567, ""mcc"": 0.85443}","{""imputador"": ""media+indicador""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88827, ""mcc"": 0.82841}","{""imputador"": ""mediana_ref""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.89486, ""mcc"": 0.8382}","{""imputador"": ""knn_k5""}",42,
2026-07-28T21:03:03+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88666, ""mcc"": 0.82618}","{""imputador"": ""mice""}",42,
2026-07-28T21:06:41+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.87149, ""mcc"": 0.80101}","{""escalador"": ""sin_escalar""}",42,
2026-07-28T21:06:41+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.90579, ""mcc"": 0.8546}","{""escalador"": ""StandardScaler""}",42,
2026-07-28T21:06:41+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.89991, ""mcc"": 0.84489}","{""escalador"": ""MinMaxScaler""}",42,
2026-07-28T21:06:41+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.90561, ""mcc"": 0.85434}","{""escalador"": ""RobustScaler""}",42,
2026-07-28T21:06:41+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.8997, ""mcc"": 0.84457}","{""escalador"": ""MaxAbsScaler""}",42,
2026-07-28T21:06:41+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.90348, ""mcc"": 0.8511}","{""escalador"": ""PowerTransformer(YJ)""}",42,
2026-07-28T21:08:22+00:00,3_seleccion,seleccion_variables,LogisticRegression,v05_escalado,"{""f1"": 0.90579, ""mcc"": 0.85461}","{""subconjunto"": ""full"", ""n"": 177}",42,
2026-07-28T21:08:22+00:00,3_seleccion,seleccion_variables,LogisticRegression,v05_escalado,"{""f1"": 0.89945, ""mcc"": 0.84476}","{""subconjunto"": ""variance"", ""n"": 109}",42,
2026-07-28T21:08:22+00:00,3_seleccion,seleccion_variables,LogisticRegression,v05_escalado,"{""f1"": 0.89959, ""mcc"": 0.845}","{""subconjunto"": ""filter_corr"", ""n"": 54}",42,
2026-07-28T21:08:22+00:00,3_seleccion,seleccion_variables,LogisticRegression,v05_escalado,"{""f1"": 0.89958, ""mcc"": 0.84495}","{""subconjunto"": ""embedded_l1"", ""n"": 50}",42,
2026-07-28T21:08:22+00:00,3_seleccion,seleccion_variables,LogisticRegression,v05_escalado,"{""f1"": 0.86844, ""mcc"": 0.79626}","{""subconjunto"": ""embedded_tree"", ""n"": 55}",42,
2026-07-28T21:08:22+00:00,3_seleccion,seleccion_variables,LogisticRegression,v05_escalado,"{""f1"": 0.89961, ""mcc"": 0.845}","{""subconjunto"": ""wrapper"", ""n"": 104}",42,
2026-07-28T21:08:48+00:00,4_reduccion,representacion,LogisticRegression,,"{""f1"": 0.90579, ""mcc"": 0.85461}","{""representacion"": ""completa (177)"", ""n"": 177}",42,
2026-07-28T21:08:48+00:00,4_reduccion,representacion,LogisticRegression,,"{""f1"": 0.89958, ""mcc"": 0.84495}","{""representacion"": ""selecci\u00f3n (50)"", ""n"": 50}",42,
2026-07-28T21:08:48+00:00,4_reduccion,representacion,LogisticRegression,,"{""f1"": 0.87935, ""mcc"": 0.81344}","{""representacion"": ""PCA (52)"", ""n"": 52}",42,
2026-07-28T21:08:48+00:00,4_reduccion,representacion,LogisticRegression,,"{""f1"": 0.89997, ""mcc"": 0.84472}","{""representacion"": ""LDA (1)"", ""n"": 1}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88453, ""mcc"": 0.82212}","{""imputador"": ""media""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88378, ""mcc"": 0.82079}","{""imputador"": ""mediana""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88183, ""mcc"": 0.81757}","{""imputador"": ""moda""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.90469, ""mcc"": 0.85273}","{""imputador"": ""constante_-1""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.90569, ""mcc"": 0.85446}","{""imputador"": ""mediana+indicador""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.90567, ""mcc"": 0.85443}","{""imputador"": ""media+indicador""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88827, ""mcc"": 0.82841}","{""imputador"": ""mediana_ref""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.89486, ""mcc"": 0.8382}","{""imputador"": ""knn_k5""}",42,
2026-07-28T21:10:58+00:00,2_preprocesamiento,imputacion,LogisticRegression,train con NaN,"{""f1"": 0.88666, ""mcc"": 0.82618}","{""imputador"": ""mice""}",42,
2026-07-28T21:14:34+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.87149, ""mcc"": 0.80101}","{""escalador"": ""sin_escalar""}",42,
2026-07-28T21:14:34+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.9058, ""mcc"": 0.85462}","{""escalador"": ""StandardScaler""}",42,
2026-07-28T21:14:34+00:00,2_preprocesamiento,escalado,LogisticRegression,v04_imputado,"{""f1"": 0.8996, ""mcc"": 0.84443}","{""escalador"": ""MinMaxScaler""}",42,
