variable,importancia_gain,importancia_permutacion,permutacion_desv
qty_dot_url,0.00594,0.00148,0.00026
qty_hyphen_url,0.00372,0.00063,0.00021
qty_underline_url,0.00077,-6e-05,0.00014
qty_slash_url,0.56867,0.22473,0.00312
qty_equal_url,0.00074,1e-05,0.00027
qty_at_url,0.00048,0.0005,0.00015
qty_and_url,5e-05,0.0,0.0
qty_percent_url,0.00024,0.0,9e-05
qty_tld_url,0.00198,0.00034,0.00017
length_url,0.0433,0.02561,0.00153
qty_dot_domain,0.02079,0.01189,0.00107
qty_hyphen_domain,0.00112,0.00098,0.00028
qty_vowels_domain,0.00741,0.0014,0.00023
domain_length,0.01115,0.00256,0.00049
qty_dot_directory,0.00102,0.00027,0.0002
qty_hyphen_directory,0.00824,0.00273,0.00014
qty_underline_directory,0.00036,0.00016,0.00011
qty_slash_directory,0.00182,0.00021,0.00016
qty_percent_directory,0.00039,1e-05,2e-05
directory_length,0.04711,0.01073,0.00074
qty_dot_file,0.00046,-0.00011,0.00014
qty_hyphen_file,0.001,-5e-05,8e-05
qty_underline_file,0.0013,-1e-05,4e-05
file_length,0.0084,0.00383,0.00045
qty_dot_params,0.00015,-8e-05,0.00011
qty_hyphen_params,0.00012,0.0,0.0
qty_underline_params,2e-05,2e-05,4e-05
qty_equal_params,0.0001,0.0,0.0
qty_at_params,0.0,0.0,0.0
qty_and_params,1e-05,3e-05,8e-05
params_length,0.00258,0.00065,0.00034
tld_present_params,9e-05,-1e-05,3e-05
qty_params,0.00076,0.00055,0.00029
email_in_url,0.0,0.0,0.0
time_response,0.02308,0.00565,0.00099
domain_spf,0.00122,0.00021,0.00027
asn_ip,0.03424,0.01381,0.00095
time_domain_activation,0.08934,0.06047,0.00212
time_domain_expiration,0.01371,0.00276,0.00044
qty_ip_resolved,0.00724,0.00138,0.00029
qty_nameservers,0.01037,0.00197,0.00029
qty_mx_servers,0.0106,0.00334,0.00057
ttl_hostname,0.02684,0.00828,0.00082
tls_ssl_certificate,0.004,0.00089,0.00026
qty_redirects,0.00415,0.00085,0.00045
missingindicator_qty_dot_directory,0.00728,2e-05,0.00019
missingindicator_qty_dot_params,0.00201,0.00031,0.00018
missingindicator_time_response,0.00108,-6e-05,7e-05
missingindicator_domain_spf,0.00165,0.00043,0.00017
missingindicator_asn_ip,0.0005,-5e-05,9e-05
missingindicator_time_domain_activation,0.00313,0.00077,0.0003
missingindicator_time_domain_expiration,0.01522,0.00909,0.0008
missingindicator_qty_ip_resolved,0.0017,9e-05,0.00014
missingindicator_qty_redirects,0.00237,0.00084,0.00018
