variable,shap_medio_abs
qty_slash_url,3.56772
time_domain_activation,1.3392
length_url,0.84485
qty_dot_domain,0.57881
missingindicator_time_domain_expiration,0.3868
asn_ip,0.35542
ttl_hostname,0.30252
time_domain_expiration,0.29525
directory_length,0.26234
time_response,0.24829
qty_mx_servers,0.22856
missingindicator_time_domain_activation,0.20035
missingindicator_qty_dot_directory,0.16576
domain_length,0.14121
file_length,0.13436
qty_redirects,0.13403
qty_vowels_domain,0.11882
qty_nameservers,0.11654
tls_ssl_certificate,0.08907
qty_slash_directory,0.0858
missingindicator_qty_redirects,0.0857
qty_hyphen_directory,0.08109
missingindicator_domain_spf,0.07592
qty_dot_url,0.07486
params_length,0.07471
qty_at_url,0.06914
qty_tld_url,0.06835
qty_equal_url,0.06679
qty_hyphen_url,0.06376
qty_ip_resolved,0.05485
domain_spf,0.05121
qty_dot_directory,0.04581
qty_hyphen_domain,0.04362
qty_dot_params,0.03543
qty_params,0.03521
missingindicator_asn_ip,0.02814
qty_dot_file,0.02606
missingindicator_qty_ip_resolved,0.02277
missingindicator_qty_dot_params,0.01267
qty_underline_url,0.01265
qty_hyphen_file,0.01239
missingindicator_time_response,0.01119
qty_underline_directory,0.00962
qty_percent_url,0.00899
qty_underline_file,0.00688
qty_and_url,0.00234
qty_percent_directory,0.00225
qty_and_params,0.00113
tld_present_params,0.001
qty_equal_params,0.00049
qty_underline_params,0.00033
qty_hyphen_params,0.00031
email_in_url,0.0
qty_at_params,0.0
