modelo,f1_mean,f1_std,average_precision_mean,roc_auc_mean,mcc_mean,recall_mean,precision_mean,tiempo_s
XGBoost,0.9601,0.002,0.992,0.9954,0.9386,0.9595,0.9607,2.7
LightGBM,0.9579,0.0022,0.9921,0.9954,0.9353,0.9579,0.9579,2.3
RandomForest,0.9568,0.0022,0.9915,0.9951,0.9334,0.961,0.9526,8.6
ExtraTrees,0.9558,0.0022,0.9914,0.9948,0.932,0.9584,0.9533,7.5
CatBoost,0.9552,0.0025,0.9911,0.995,0.9312,0.9557,0.9548,9.2
HistGradientBoosting,0.9513,0.0019,0.9898,0.9942,0.925,0.9531,0.9495,2.7
"MLP(64,32)",0.9453,0.0028,0.9863,0.9921,0.916,0.942,0.9485,5.9
MLP(100),0.9434,0.003,0.9855,0.9919,0.9132,0.9391,0.9478,10.5
DecisionTree,0.9315,0.0028,0.8916,0.9473,0.8946,0.9314,0.9315,0.7
kNN(k=5),0.9291,0.0022,0.9608,0.9805,0.8915,0.9206,0.9376,7.5
kNN(k=15),0.9203,0.002,0.9722,0.9854,0.8785,0.9085,0.9325,7.6
SVM-RBF(Nystroem),0.9171,0.0049,0.9749,0.9863,0.8721,0.9247,0.9098,5.1
LinearSVC,0.9002,0.0026,0.9616,0.9791,0.8455,0.9133,0.8874,2.2
LogisticRegression,0.8996,0.0025,0.9617,0.9791,0.8451,0.9071,0.8923,0.7
SGD(log_loss),0.897,0.0046,0.9595,0.978,0.8414,0.901,0.8932,0.6
LDA,0.8814,0.0015,0.9565,0.9763,0.8155,0.9474,0.8239,0.6
GaussianNB,0.5584,0.0119,0.8647,0.9472,0.4925,0.4079,0.8859,0.3
Dummy(estratificada),0.3416,0.0017,0.3482,0.4966,-0.0068,0.3381,0.3452,0.2
Dummy(mayoritaria),0.0,0.0,0.3497,0.5,0.0,0.0,0.0,0.2
