variable,pct_ausente
qty_and_params,91.556
qty_space_params,91.556
qty_dot_params,91.556
qty_hyphen_params,91.556
qty_underline_params,91.556
qty_slash_params,91.556
qty_questionmark_params,91.556
qty_equal_params,91.556
qty_at_params,91.556
qty_exclamation_params,91.556
qty_tilde_params,91.556
qty_comma_params,91.556
qty_plus_params,91.556
qty_asterisk_params,91.556
qty_hashtag_params,91.556
qty_dollar_params,91.556
qty_percent_params,91.556
params_length,91.556
tld_present_params,91.556
qty_params,91.556
qty_hyphen_directory,53.12
qty_asterisk_file,53.12
qty_hashtag_file,53.12
qty_dot_directory,53.12
qty_percent_file,53.12
file_length,53.12
qty_comma_file,53.12
qty_plus_file,53.12
qty_dollar_file,53.12
qty_tilde_file,53.12
qty_hashtag_directory,53.12
qty_underline_directory,53.12
qty_slash_directory,53.12
qty_questionmark_directory,53.12
qty_equal_directory,53.12
qty_at_directory,53.12
qty_and_directory,53.12
qty_exclamation_directory,53.12
qty_space_directory,53.12
qty_space_file,53.12
qty_comma_directory,53.12
qty_plus_directory,53.12
qty_asterisk_directory,53.12
qty_tilde_directory,53.12
qty_dollar_directory,53.12
qty_questionmark_file,53.12
qty_percent_directory,53.12
qty_and_file,53.12
qty_at_file,53.12
qty_equal_file,53.12
qty_exclamation_file,53.12
qty_slash_file,53.12
qty_underline_file,53.12
qty_hyphen_file,53.12
qty_dot_file,53.12
directory_length,53.12
time_domain_expiration,28.654
time_domain_activation,26.527
domain_spf,16.831
qty_redirects,6.308
asn_ip,5.849
time_response,5.058
qty_ip_resolved,3.531
ttl_hostname,3.528
url_google_index,0.076
domain_google_index,0.073
