variable,anova_F,informacion_mutua
qty_slash_url,65838.8569,0.3841
directory_length,5623.3817,0.3696
file_length,1543.5855,0.342
missingindicator_qty_dot_file,86491.3091,0.3388
missingindicator_qty_hyphen_file,86491.3091,0.337
missingindicator_qty_equal_file,86491.3091,0.3364
missingindicator_qty_slash_directory,86491.3091,0.336
missingindicator_qty_questionmark_directory,86491.3091,0.336
missingindicator_qty_tilde_file,86491.3091,0.336
missingindicator_qty_tilde_directory,86491.3091,0.3354
missingindicator_qty_plus_directory,86491.3091,0.335
missingindicator_qty_and_file,86491.3091,0.3349
missingindicator_qty_plus_file,86491.3091,0.3344
missingindicator_qty_dot_directory,86491.3091,0.3342
missingindicator_qty_hyphen_directory,86491.3091,0.3342
missingindicator_qty_percent_directory,86491.3091,0.334
missingindicator_qty_underline_directory,86491.3091,0.3339
missingindicator_file_length,86491.3091,0.3338
missingindicator_qty_comma_directory,86491.3091,0.3336
missingindicator_qty_hashtag_directory,86491.3091,0.3331
missingindicator_qty_hashtag_file,86491.3091,0.333
missingindicator_qty_at_directory,86491.3091,0.3328
missingindicator_qty_underline_file,86491.3091,0.3327
missingindicator_qty_space_file,86491.3091,0.3325
missingindicator_qty_equal_directory,86491.3091,0.3324
missingindicator_qty_exclamation_file,86491.3091,0.3322
missingindicator_qty_questionmark_file,86491.3091,0.3316
missingindicator_qty_slash_file,86491.3091,0.3316
missingindicator_qty_dollar_directory,86491.3091,0.3315
missingindicator_qty_percent_file,86491.3091,0.3315
missingindicator_qty_asterisk_directory,86491.3091,0.3313
missingindicator_qty_asterisk_file,86491.3091,0.3311
missingindicator_qty_exclamation_directory,86491.3091,0.3308
missingindicator_qty_comma_file,86491.3091,0.3301
missingindicator_qty_space_directory,86491.3091,0.3298
missingindicator_qty_dollar_file,86491.3091,0.3288
missingindicator_qty_at_file,86491.3091,0.3286
missingindicator_qty_and_directory,86491.3091,0.3281
missingindicator_directory_length,86491.3091,0.327
length_url,19618.6606,0.2918
qty_slash_directory,14807.1926,0.2335
time_domain_activation,19945.1751,0.1852
qty_dot_directory,15896.3644,0.1451
qty_dot_file,20528.5309,0.1322
asn_ip,482.7021,0.1302
ttl_hostname,24.5662,0.0885
missingindicator_qty_hyphen_params,10039.9753,0.0745
missingindicator_qty_percent_params,10039.9753,0.0741
missingindicator_qty_at_params,10039.9753,0.0736
missingindicator_tld_present_params,10039.9753,0.0734
missingindicator_qty_exclamation_params,10039.9753,0.0727
missingindicator_qty_space_params,10039.9753,0.0722
missingindicator_qty_tilde_params,10039.9753,0.0721
qty_equal_url,5014.0363,0.0717
missingindicator_qty_comma_params,10039.9753,0.0696
missingindicator_qty_and_params,10039.9753,0.0694
missingindicator_params_length,10039.9753,0.0694
missingindicator_qty_slash_params,10039.9753,0.0692
missingindicator_qty_underline_params,10039.9753,0.0689
missingindicator_qty_hashtag_params,10039.9753,0.0682
missingindicator_qty_questionmark_params,10039.9753,0.0681
missingindicator_qty_asterisk_params,10039.9753,0.0681
missingindicator_qty_dot_params,10039.9753,0.0674
params_length,1754.0313,0.0668
missingindicator_qty_params,10039.9753,0.0663
missingindicator_qty_dollar_params,10039.9753,0.0653
missingindicator_qty_equal_params,10039.9753,0.0651
missingindicator_qty_plus_params,10039.9753,0.0636
qty_dot_domain,5247.7289,0.0608
qty_hyphen_directory,1361.119,0.0557
qty_hyphen_url,2862.5531,0.054
qty_dot_url,2046.1021,0.046
qty_params,1733.3163,0.0428
time_domain_expiration,1667.1995,0.0421
qty_equal_params,2179.7411,0.0365
qty_dot_params,2049.7537,0.0335
qty_and_url,2607.8298,0.0309
qty_and_params,2523.0416,0.0297
qty_underline_url,2649.5662,0.0288
qty_underline_params,1387.0027,0.0279
qty_tld_url,3285.438,0.0277
email_in_url,2541.2067,0.0242
qty_at_params,2200.0195,0.0235
tld_present_params,3327.756,0.0213
qty_at_url,763.5524,0.0198
qty_vowels_domain,868.7417,0.0191
qty_nameservers,301.2473,0.0155
domain_length,3.9529,0.0146
qty_ip_resolved,406.8078,0.0137
qty_hyphen_params,626.1287,0.0123
domain_spf,840.2179,0.012
missingindicator_time_domain_activation,1524.0794,0.0098
qty_redirects,844.4365,0.0093
qty_mx_servers,586.5493,0.0093
qty_underline_directory,1380.8645,0.0083
time_response,17.0493,0.0083
missingindicator_time_domain_expiration,1210.002,0.008
qty_hyphen_file,111.2248,0.0067
missingindicator_ttl_hostname,96.0125,0.0044
qty_percent_directory,6.8157,0.0039
missingindicator_qty_ip_resolved,96.1989,0.0026
qty_percent_url,43.698,0.0024
qty_underline_file,135.0231,0.0023
qty_hyphen_domain,1020.1902,0.0021
tls_ssl_certificate,156.2527,0.002
missingindicator_time_response,80.7329,0.0
missingindicator_domain_spf,951.6778,0.0
missingindicator_asn_ip,123.684,0.0
missingindicator_qty_redirects,193.2488,0.0
