conjunto,decision,variante,f1_mean,nota,n_variables,f1_std,mcc_mean,roc_auc_mean,n_test,precision,recall,f1,mcc,roc_auc
phiusiil,D1_imputacion,sin nulos,,no evaluable: 0 nulos,,,,,,,,,,
phiusiil,D2_seleccion,todas,1.0,,50.0,0.0,1.0,,,,,,,
phiusiil,D2_seleccion,filter_corr,1.0,,48.0,0.0,1.0,,,,,,,
phiusiil,D3_balanceo,sin balanceo,1.0,,,0.0,1.0,1.0,,,,,,
phiusiil,D3_balanceo,class_weight,1.0,,,0.0,1.0,1.0,,,,,,
phiusiil,D3_balanceo,SMOTE,1.0,,,0.0,1.0,1.0,,,,,,
phiusiil,D4_modelos,LogisticRegression,0.9999,,,0.0001,0.9998,1.0,,,,,,
phiusiil,D4_modelos,DecisionTree,1.0,,,0.0,1.0,1.0,,,,,,
phiusiil,D4_modelos,RandomForest,1.0,,,0.0,1.0,1.0,,,,,,
phiusiil,D4_modelos,XGBoost,1.0,,,0.0,1.0,1.0,,,,,,
phiusiil,D4_modelos,LightGBM,1.0,,,0.0,1.0,1.0,,,,,,
phiusiil,TEST_holdout,todas las variables,,,,,,,47159.0,1.0,1.0,1.0,1.0,1.0
phiusiil,D4_modelos_sin_fuga,LogisticRegression (sin URLSimilarityIndex),0.9991,,,0.0002,0.9984,1.0,,,,,,
phiusiil,D4_modelos_sin_fuga,DecisionTree (sin URLSimilarityIndex),0.9989,,,0.0001,0.9981,0.999,,,,,,
phiusiil,D4_modelos_sin_fuga,RandomForest (sin URLSimilarityIndex),0.9999,,,0.0001,0.9998,1.0,,,,,,
phiusiil,D4_modelos_sin_fuga,XGBoost (sin URLSimilarityIndex),0.9999,,,0.0001,0.9999,1.0,,,,,,
phiusiil,D4_modelos_sin_fuga,LightGBM (sin URLSimilarityIndex),0.9999,,,0.0001,0.9999,1.0,,,,,,
phiusiil,TEST_holdout,sin URLSimilarityIndex,,,,,,,47159.0,1.0,1.0,1.0,0.9999,1.0
urlphish,D1_imputacion,sin nulos,,no evaluable: 0 nulos,,,,,,,,,,
urlphish,D2_seleccion,todas,0.9368,,22.0,0.0032,0.9266,,,,,,,
urlphish,D2_seleccion,filter_corr,0.9368,,21.0,0.0045,0.9265,,,,,,,
urlphish,D3_balanceo,sin balanceo,0.9368,,,0.0045,0.9265,0.9945,,,,,,
urlphish,D3_balanceo,class_weight,0.9234,,,0.0045,0.9107,0.9943,,,,,,
urlphish,D3_balanceo,SMOTE,0.9352,,,0.0037,0.9243,0.9944,,,,,,
urlphish,D4_modelos,LogisticRegression,0.8265,,,0.0016,0.8036,0.9754,,,,,,
urlphish,D4_modelos,DecisionTree,0.903,,,0.0041,0.8867,0.9449,,,,,,
urlphish,D4_modelos,RandomForest,0.9315,,,0.0042,0.9205,0.9908,,,,,,
urlphish,D4_modelos,XGBoost,0.937,,,0.0035,0.9268,0.994,,,,,,
urlphish,D4_modelos,LightGBM,0.9368,,,0.0045,0.9265,0.9945,,,,,,
urlphish,TEST_holdout,todas las variables,,,,,,,23047.0,0.9608,0.9168,0.9383,0.9286,0.9948
